N,W_IN,W_FB,AUC
30,0.900000,0.700000,0.493
30,0.900000,0.800000,0.527
30,0.900000,0.900000,0.552
40,0.100000,0.100000,0.797
40,0.100000,0.200000,0.778
40,0.100000,0.300000,0.742
40,0.100000,0.400000,0.544
40,0.100000,0.500000,0.541
40,0.100000,0.600000,0.492
40,0.100000,0.700000,0.512
40,0.100000,0.800000,0.513
40,0.100000,0.900000,0.512
40,0.200000,0.100000,0.797
40,0.200000,0.200000,0.778
40,0.200000,0.300000,0.742
40,0.200000,0.400000,0.667
40,0.200000,0.500000,0.571
40,0.200000,0.600000,0.513
40,0.200000,0.700000,0.494
40,0.200000,0.800000,0.516
40,0.200000,0.900000,0.534
40,0.300000,0.100000,0.797
40,0.300000,0.200000,0.779
40,0.300000,0.300000,0.746
40,0.300000,0.400000,0.662
40,0.300000,0.500000,0.608
40,0.300000,0.600000,0.479
40,0.300000,0.700000,0.507
40,0.300000,0.800000,0.513
40,0.300000,0.900000,0.531
40,0.400000,0.100000,0.795
40,0.400000,0.200000,0.774
40,0.400000,0.300000,0.745
40,0.400000,0.400000,0.660
40,0.400000,0.500000,0.622
40,0.400000,0.600000,0.506
40,0.400000,0.700000,0.496
40,0.400000,0.800000,0.531
40,0.400000,0.900000,0.546
40,0.500000,0.100000,0.791
40,0.500000,0.200000,0.775
40,0.500000,0.300000,0.747
40,0.500000,0.400000,0.662
40,0.500000,0.500000,0.631
40,0.500000,0.600000,0.494
40,0.500000,0.700000,0.500
40,0.500000,0.800000,0.523
40,0.500000,0.900000,0.559
40,0.600000,0.100000,0.791
40,0.600000,0.200000,0.777
40,0.600000,0.300000,0.748
40,0.600000,0.400000,0.663
40,0.600000,0.500000,0.640
40,0.600000,0.600000,0.483
40,0.600000,0.700000,0.492
40,0.600000,0.800000,0.549
40,0.600000,0.900000,0.535
40,0.700000,0.100000,0.796
40,0.700000,0.200000,0.776
40,0.700000,0.300000,0.747
40,0.700000,0.400000,0.665
40,0.700000,0.500000,0.644
40,0.700000,0.600000,0.505
40,0.700000,0.700000,0.487
40,0.700000,0.800000,0.532
40,0.700000,0.900000,0.556
40,0.800000,0.100000,0.794
40,0.800000,0.200000,0.778
40,0.800000,0.300000,0.744
40,0.800000,0.400000,0.666
40,0.800000,0.500000,0.636
40,0.800000,0.600000,0.496
40,0.800000,0.700000,0.492
40,0.800000,0.800000,0.533
40,0.800000,0.900000,0.565
40,0.900000,0.100000,0.788
40,0.900000,0.200000,0.779
40,0.900000,0.300000,0.745
40,0.900000,0.400000,0.666
40,0.900000,0.500000,0.628
40,0.900000,0.600000,0.489
40,0.900000,0.700000,0.493
40,0.900000,0.800000,0.527
40,0.900000,0.900000,0.552
50,0.100000,0.100000,0.797
50,0.100000,0.200000,0.778
50,0.100000,0.300000,0.742
50,0.100000,0.400000,0.544
50,0.100000,0.500000,0.541
50,0.100000,0.600000,0.492
50,0.100000,0.700000,0.512
50,0.100000,0.800000,0.513
50,0.100000,0.900000,0.512
50,0.200000,0.100000,0.797
50,0.200000,0.200000,0.778
50,0.200000,0.300000,0.742
50,0.200000,0.400000,0.667
50,0.200000,0.500000,0.571
50,0.200000,0.600000,0.513
50,0.200000,0.700000,0.494
50,0.200000,0.800000,0.516
50,0.200000,0.900000,0.534
50,0.300000,0.100000,0.797
50,0.300000,0.200000,0.779
50,0.300000,0.300000,0.746
50,0.300000,0.400000,0.662
50,0.300000,0.500000,0.608
50,0.300000,0.600000,0.479
50,0.300000,0.700000,0.507
50,0.300000,0.800000,0.513
50,0.300000,0.900000,0.531
50,0.400000,0.100000,0.795
50,0.400000,0.200000,0.774
50,0.400000,0.300000,0.745
50,0.400000,0.400000,0.660
50,0.400000,0.500000,0.622
50,0.400000,0.600000,0.506
50,0.400000,0.700000,0.496
50,0.400000,0.800000,0.531
50,0.400000,0.900000,0.546
50,0.500000,0.100000,0.791
50,0.500000,0.200000,0.775
50,0.500000,0.300000,0.747
50,0.500000,0.400000,0.662
50,0.500000,0.500000,0.631
50,0.500000,0.600000,0.494
50,0.500000,0.700000,0.500
50,0.500000,0.800000,0.523
50,0.500000,0.900000,0.559
50,0.600000,0.100000,0.791
50,0.600000,0.200000,0.777
50,0.600000,0.300000,0.748
50,0.600000,0.400000,0.663
50,0.600000,0.500000,0.640
50,0.600000,0.600000,0.483
50,0.600000,0.700000,0.492
50,0.600000,0.800000,0.549
50,0.600000,0.900000,0.535
50,0.700000,0.100000,0.796
50,0.700000,0.200000,0.776
50,0.700000,0.300000,0.747
50,0.700000,0.400000,0.665
50,0.700000,0.500000,0.644
50,0.700000,0.600000,0.505
50,0.700000,0.700000,0.487
50,0.700000,0.800000,0.532
50,0.700000,0.900000,0.556
50,0.800000,0.100000,0.794
50,0.800000,0.200000,0.778
50,0.800000,0.300000,0.744
50,0.800000,0.400000,0.666
50,0.800000,0.500000,0.636
50,0.800000,0.600000,0.496
50,0.800000,0.700000,0.492
50,0.800000,0.800000,0.533
50,0.800000,0.900000,0.565
50,0.900000,0.100000,0.788
50,0.900000,0.200000,0.779
50,0.900000,0.300000,0.745
50,0.900000,0.400000,0.666
50,0.900000,0.500000,0.628
50,0.900000,0.600000,0.489
50,0.900000,0.700000,0.493
50,0.900000,0.800000,0.527
50,0.900000,0.900000,0.552
60,0.100000,0.100000,0.797
60,0.100000,0.200000,0.778
60,0.100000,0.300000,0.742
60,0.100000,0.400000,0.544
60,0.100000,0.500000,0.541
60,0.100000,0.600000,0.492
60,0.100000,0.700000,0.512
60,0.100000,0.800000,0.513
60,0.100000,0.900000,0.512
60,0.200000,0.100000,0.797
60,0.200000,0.200000,0.778
60,0.200000,0.300000,0.742
60,0.200000,0.400000,0.667
60,0.200000,0.500000,0.571
60,0.200000,0.600000,0.513
60,0.200000,0.700000,0.494
60,0.200000,0.800000,0.516
60,0.200000,0.900000,0.534
60,0.300000,0.100000,0.797
60,0.300000,0.200000,0.779
60,0.300000,0.300000,0.746
60,0.300000,0.400000,0.662
60,0.300000,0.500000,0.608
60,0.300000,0.600000,0.479
60,0.300000,0.700000,0.507
60,0.300000,0.800000,0.513
60,0.300000,0.900000,0.531
60,0.400000,0.100000,0.795
60,0.400000,0.200000,0.774
60,0.400000,0.300000,0.745
60,0.400000,0.400000,0.660
60,0.400000,0.500000,0.622
60,0.400000,0.600000,0.506
60,0.400000,0.700000,0.496
60,0.400000,0.800000,0.531
60,0.400000,0.900000,0.546
60,0.500000,0.100000,0.791
60,0.500000,0.200000,0.775
60,0.500000,0.300000,0.747
60,0.500000,0.400000,0.662
60,0.500000,0.500000,0.631
60,0.500000,0.600000,0.494
60,0.500000,0.700000,0.500
60,0.500000,0.800000,0.523
60,0.500000,0.900000,0.559
60,0.600000,0.100000,0.791
60,0.600000,0.200000,0.777
60,0.600000,0.300000,0.748
60,0.600000,0.400000,0.663
60,0.600000,0.500000,0.640
60,0.600000,0.600000,0.483
60,0.600000,0.700000,0.492
60,0.600000,0.800000,0.549
60,0.600000,0.900000,0.535
60,0.700000,0.100000,0.796
60,0.700000,0.200000,0.776
60,0.700000,0.300000,0.747
60,0.700000,0.400000,0.665
60,0.700000,0.500000,0.644
60,0.700000,0.600000,0.505
60,0.700000,0.700000,0.487
60,0.700000,0.800000,0.532
60,0.700000,0.900000,0.556
60,0.800000,0.100000,0.794
60,0.800000,0.200000,0.778
60,0.800000,0.300000,0.744
60,0.800000,0.400000,0.666
60,0.800000,0.500000,0.636
60,0.800000,0.600000,0.496
60,0.800000,0.700000,0.492
60,0.800000,0.800000,0.533
60,0.800000,0.900000,0.565
60,0.900000,0.100000,0.788
60,0.900000,0.200000,0.779
60,0.900000,0.300000,0.745
60,0.900000,0.400000,0.666
60,0.900000,0.500000,0.628
60,0.900000,0.600000,0.489
60,0.900000,0.700000,0.493
60,0.900000,0.800000,0.527
60,0.900000,0.900000,0.552
70,0.100000,0.100000,0.797
70,0.100000,0.200000,0.778
70,0.100000,0.300000,0.742
70,0.100000,0.400000,0.544
70,0.100000,0.500000,0.541
70,0.100000,0.600000,0.492
70,0.100000,0.700000,0.512
70,0.100000,0.800000,0.513
70,0.100000,0.900000,0.512
70,0.200000,0.100000,0.797
70,0.200000,0.200000,0.778
70,0.200000,0.300000,0.742
70,0.200000,0.400000,0.667
70,0.200000,0.500000,0.571
70,0.200000,0.600000,0.513
70,0.200000,0.700000,0.494
70,0.200000,0.800000,0.516
70,0.200000,0.900000,0.534
70,0.300000,0.100000,0.797
70,0.300000,0.200000,0.779
70,0.300000,0.300000,0.746
70,0.300000,0.400000,0.662
70,0.300000,0.500000,0.608
70,0.300000,0.600000,0.479
70,0.300000,0.700000,0.507
70,0.300000,0.800000,0.513
70,0.300000,0.900000,0.531
70,0.400000,0.100000,0.795
70,0.400000,0.200000,0.774
70,0.400000,0.300000,0.745
70,0.400000,0.400000,0.660
70,0.400000,0.500000,0.622
70,0.400000,0.600000,0.506
70,0.400000,0.700000,0.496
70,0.400000,0.800000,0.531
70,0.400000,0.900000,0.546
70,0.500000,0.100000,0.791
70,0.500000,0.200000,0.775
70,0.500000,0.300000,0.747
70,0.500000,0.400000,0.662
70,0.500000,0.500000,0.631
70,0.500000,0.600000,0.494
70,0.500000,0.700000,0.500
70,0.500000,0.800000,0.523
70,0.500000,0.900000,0.559
70,0.600000,0.100000,0.791
70,0.600000,0.200000,0.777
70,0.600000,0.300000,0.748
70,0.600000,0.400000,0.663
70,0.600000,0.500000,0.640
70,0.600000,0.600000,0.483
70,0.600000,0.700000,0.492
70,0.600000,0.800000,0.549
70,0.600000,0.900000,0.535
70,0.700000,0.100000,0.796
70,0.700000,0.200000,0.776
70,0.700000,0.300000,0.747
70,0.700000,0.400000,0.665
70,0.700000,0.500000,0.644
70,0.700000,0.600000,0.505
70,0.700000,0.700000,0.487
70,0.700000,0.800000,0.532
70,0.700000,0.900000,0.556
70,0.800000,0.100000,0.794
70,0.800000,0.200000,0.778
70,0.800000,0.300000,0.744
70,0.800000,0.400000,0.666
70,0.800000,0.500000,0.636
70,0.800000,0.600000,0.496
70,0.800000,0.700000,0.492
70,0.800000,0.800000,0.533
70,0.800000,0.900000,0.565
70,0.900000,0.100000,0.788
70,0.900000,0.200000,0.779
70,0.900000,0.300000,0.745
70,0.900000,0.400000,0.666
70,0.900000,0.500000,0.628
70,0.900000,0.600000,0.489
70,0.900000,0.700000,0.493
70,0.900000,0.800000,0.527
70,0.900000,0.900000,0.552
80,0.100000,0.100000,0.797
80,0.100000,0.200000,0.778
80,0.100000,0.300000,0.742
80,0.100000,0.400000,0.544
80,0.100000,0.500000,0.541
80,0.100000,0.600000,0.492
80,0.100000,0.700000,0.512
80,0.100000,0.800000,0.513
80,0.100000,0.900000,0.512
80,0.200000,0.100000,0.797
80,0.200000,0.200000,0.778
80,0.200000,0.300000,0.742
80,0.200000,0.400000,0.667
80,0.200000,0.500000,0.571
80,0.200000,0.600000,0.513
80,0.200000,0.700000,0.494
80,0.200000,0.800000,0.516
80,0.200000,0.900000,0.534
80,0.300000,0.100000,0.797
80,0.300000,0.200000,0.779
80,0.300000,0.300000,0.746
80,0.300000,0.400000,0.662
